x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
260,115,11:44:26:052,Square,0,0,1440,900
264,115,11:44:26:206,Square,198,0,1440,900
432,177,11:44:26:367,Square,2399,1350,1440,900
652,275,11:44:26:525,Square,529,301,1440,900
740,282,11:44:26:683,Square,470,-161,1440,900
774,275,11:44:26:836,Square,111,0,1440,900
791,291,11:44:27:001,Square,62,85,1440,900
792,294,11:44:27:273,Square,0,0,1440,900
END_OF_STROKE,0,0,11:44:27:396,END_OF_STROKE,0,0,0
229,116,11:44:29:314,Square,-309,-133,1440,900
238,121,11:44:29:482,Square,390,304,1440,900
680,359,11:44:29:648,Square,2117,1616,1440,900
777,432,11:44:29:799,Square,294,482,1440,900
791,445,11:44:29:965,Square,0,0,1440,900
END_OF_STROKE,0,0,11:44:30:040,END_OF_STROKE,0,0,0
241,127,11:44:30:986,Square,-608,-473,1440,900
282,127,11:44:31:147,Square,1411,0,1440,900
688,254,11:44:31:297,Square,1521,994,1440,900
801,345,11:44:31:464,Square,334,609,1440,900
823,376,11:44:31:630,Square,62,170,1440,900
824,422,11:44:31:797,Square,0,80,1440,900
818,418,11:44:31:954,Square,-397,-362,1440,900
END_OF_STROKE,0,0,11:44:31:955,END_OF_STROKE,0,0,0
164,483,11:44:36:205,Yellow Diamond,-163,22,1440,900
164,483,11:44:36:369,Yellow Diamond,0,0,1440,900
END_OF_STROKE,0,0,11:44:36:386,END_OF_STROKE,0,0,0
END_OF_STROKE,0,0,11:44:36:809,END_OF_STROKE,0,0,0
END_OF_STROKE,0,0,11:44:37:074,END_OF_STROKE,0,0,0
106,131,11:44:38:144,Circle,-35,-287,1440,900
135,134,11:44:38:308,Circle,1432,255,1440,900
519,390,11:44:38:458,Circle,2241,2297,1440,900
681,495,11:44:38:608,Circle,311,170,1440,900
750,493,11:44:38:758,Circle,265,0,1440,900
752,488,11:44:38:909,Circle,-132,-271,1440,900
END_OF_STROKE,0,0,11:44:38:914,END_OF_STROKE,0,0,0
68,110,11:44:39:578,Circle,-1082,-802,1440,900
68,110,11:44:39:740,Circle,0,0,1440,900
339,136,11:44:39:891,Circle,4233,1085,1440,900
763,419,11:44:40:042,Circle,706,562,1440,900
763,452,11:44:40:207,Circle,-66,271,1440,900
812,481,11:44:40:359,Circle,56,76,1440,900
814,476,11:44:40:517,Circle,0,-289,1440,900
END_OF_STROKE,0,0,11:44:40:518,END_OF_STROKE,0,0,0
78,274,11:44:44:835,Right Triangle,-180,-68,1440,900
88,274,11:44:44:987,Right Triangle,605,0,1440,900
518,330,11:44:45:138,Right Triangle,1681,936,1440,900
568,360,11:44:45:288,Right Triangle,0,0,1440,900
532,388,11:44:45:456,Right Triangle,-53,217,1440,900
552,428,11:44:45:622,Right Triangle,0,85,1440,900
555,421,11:44:45:790,Right Triangle,56,-152,1440,900
END_OF_STROKE,0,0,11:44:45:802,END_OF_STROKE,0,0,0
123,275,11:44:46:539,Right Triangle,-611,-282,1440,900
219,275,11:44:46:704,Right Triangle,4178,0,1440,900
802,352,11:44:46:869,Right Triangle,623,170,1440,900
816,354,11:44:47:019,Right Triangle,62,0,1440,900
861,370,11:44:47:187,Right Triangle,223,228,1440,900