x,y,timestamp,shape
229,118,13:29:51:647,Circle
231,116,13:29:51:762,Circle
684,220,13:29:51:874,Circle
880,306,13:29:51:974,Circle
884,309,13:29:52:085,Circle
883,309,13:29:52:193,Circle
882,309,13:29:52:302,Circle
882,309,13:29:52:419,Circle
754,256,13:29:52:524,Circle
704,233,13:29:52:659,Circle
705,233,13:29:53:380,Circle
382,173,13:29:53:490,Circle
255,117,13:29:54:054,Circle
254,117,13:29:54:298,Circle
239,117,13:29:54:405,Circle
223,116,13:29:54:505,Circle
216,115,13:29:54:605,Circle
210,115,13:29:54:707,Circle
204,114,13:29:54:808,Circle
203,113,13:29:54:922,Circle
205,119,13:29:55:471,Circle
205,119,13:29:55:831,Circle
207,122,13:29:55:938,Circle
211,130,13:29:56:038,Circle
212,131,13:29:56:236,Circle
209,129,13:29:56:337,Circle
204,121,13:29:56:437,Circle
204,126,13:29:57:045,Circle
204,126,13:29:57:289,Circle
212,137,13:29:57:405,Circle
212,137,13:29:57:678,Circle
116,123,13:30:11:614,Square
581,153,13:30:11:726,Square
787,188,13:30:11:845,Square
718,189,13:30:11:958,Square
672,185,13:30:12:061,Square
675,182,13:30:12:176,Square
689,179,13:30:12:294,Square
185,215,13:30:14:086,Trapezoid
476,252,13:30:14:189,Trapezoid
832,394,13:30:14:306,Trapezoid
840,403,13:30:14:406,Trapezoid
802,409,13:30:14:507,Trapezoid
751,395,13:30:14:622,Trapezoid
749,393,13:30:14:826,Trapezoid
158,190,13:30:16:691,Trapezoid
157,189,13:30:16:896,Trapezoid
211,205,13:30:17:005,Trapezoid
570,331,13:30:17:121,Trapezoid
779,456,13:30:17:220,Trapezoid
800,492,13:30:17:322,Trapezoid
765,477,13:30:17:437,Trapezoid
726,447,13:30:17:537,Trapezoid
721,438,13:30:17:639,Trapezoid
721,437,13:30:17:754,Trapezoid
721,437,13:30:18:907,Trapezoid
721,436,13:30:19:036,Trapezoid
718,434,13:30:19:136,Trapezoid
717,432,13:30:19:237,Trapezoid
717,432,13:30:19:488,Trapezoid
718,432,13:30:19:594,Trapezoid
718,433,13:30:19:721,Trapezoid
718,433,13:30:22:248,Trapezoid
718,431,13:30:22:351,Trapezoid
717,429,13:30:22:454,Trapezoid
717,427,13:30:22:848,Trapezoid
240,133,13:30:24:018,Circle
240,132,13:30:24:158,Circle
758,139,13:30:24:267,Circle
834,233,13:30:24:384,Circle
620,357,13:30:24:499,Circle
811,238,13:30:24:600,Circle
756,328,13:30:24:716,Circle
892,356,13:30:24:833,Circle
743,304,13:30:24:933,Circle
399,196,13:30:25:033,Circle
686,225,13:30:25:148,Circle
1018,245,13:30:25:251,Circle
1001,269,13:30:25:366,Circle
991,278,13:30:26:198,Circle
791,298,13:30:26:299,Circle
681,240,13:30:26:414,Circle
875,167,13:30:26:516,Circle
876,192,13:30:26:630,Circle
835,215,13:30:26:731,Circle
846,196,13:30:26:831,Circle
878,185,13:30:26:947,Circle
856,192,13:30:27:047,Circle
890,187,13:30:27:152,Circle
937,223,13:30:27:252,Circle
650,244,13:30:27:352,Circle
673,84,13:30:27:452,Circle
899,242,13:30:27:552,Circle
719,373,13:30:27:653,Circle
770,218,13:30:27:769,Circle
902,218,13:30:27:869,Circle
762,303,13:30:27:969,Circle
893,157,13:30:28:085,Circle
913,201,13:30:28:185,Circle
747,235,13:30:28:285,Circle
848,144,13:30:28:386,Circle
770,242,13:30:28:502,Circle
844,168,13:30:28:602,Circle
964,205,13:30:28:702,Circle
128,261,13:30:28:802,Circle
1,242,13:30:28:902,Circle
308,199,13:30:29:002,Circle
355,192,13:30:29:102,Circle
333,173,13:30:29:202,Circle
271,158,13:30:29:302,Circle
481,184,13:30:29:402,Circle
903,374,13:30:29:502,Circle
906,210,13:30:29:602,Circle
762,197,13:30:29:702,Circle
681,323,13:30:29:802,Circle
565,301,13:30:29:902,Circle
105,183,13:30:30:003,Circle
92,160,13:30:30:118,Circle
103,159,13:30:30:219,Circle
168,122,13:30:30:335,Circle
203,121,13:30:30:435,Circle
206,125,13:30:30:535,Circle
216,132,13:30:30:635,Circle